,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,ict,ict_pred
44875,Paul Pogba,20,25,6517,3,29,380,681.9,695.462131916899
44876,Shinji Okazaki,9,4,2879,5,12,139,198.3,215.7180180923989
44877,Christian Fuchs,2,4,3463,2,9,121,163.8,153.7629366727732
44878,Eliaquim Mangala,0,0,79,2,0,3,2.1,1.7782040126758893
44879,Nicolás Otamendi,1,2,2772,2,10,111,125.5,110.65088144591822
44880,Marko Grujic,0,0,57,3,0,7,8.0,2.5252731222084748
44881,Ruben Loftus-Cheek,5,5,2291,3,7,118,164.4,164.3690723586227
44882,Christian Atsu,2,4,2793,4,9,109,167.3,153.90268048662
44883,Stefano Okaka,0,0,27,5,0,4,4.0,2.3117653127751545
44884,David Silva,0,2,865,4,2,30,93.8,45.51996624764489
44885,Eric Maxim Choupo-Moting,5,5,2241,5,5,107,168.1,166.275293549847
44886,Michael Kightly,0,0,104,4,0,6,1.5,4.877878047288361
44887,Lucas Pérez,0,0,64,5,0,3,4.1,3.7549616613153383
44888,Marc Muniesa,1,0,289,2,2,23,16.6,17.233662368346415
44889,Curtis Davies,0,2,2049,2,1,39,78.7,81.86740925080882
44890,Andrew Robertson,1,2,2583,2,5,74,89.6,100.66812391029082
44891,David Ospina,0,0,253,1,1,12,5.0,3.460929128350152
44892,Christian Atsu,2,4,2965,4,11,115,175.2,164.79158480524165
44893,Roberto Pereyra,3,4,1817,3,3,83,102.6,116.44688534240693
44894,Grant Leadbitter,1,0,234,3,2,15,9.9,21.407951278035007
44895,Geoff Cameron,0,1,2192,3,7,72,85.8,80.49870874879923
44896,Scott Arfield,3,4,3278,3,12,123,172.3,177.14333597422848
44897,Brendan Galloway,0,0,247,2,1,9,7.5,7.419013804181116
44898,Dan Gosling,2,0,656,3,2,32,36.9,42.50686486996361
44899,Eden Hazard,16,10,3286,4,17,247,374.4,363.4916596536665
44900,Arthur Masuaku,0,5,3908,2,11,132,154.3,154.61002181502067
44901,Danny Simpson,0,3,4141,2,12,118,114.4,142.62778088281635
44902,Willian Borges Da Silva,16,14,4178,4,22,295,508.1,449.79054696266087
44903,Connor Wickham,2,0,412,5,0,18,25.0,32.477788141268334
44904,Eric Bailly,1,0,3238,2,20,164,97.6,107.03477992729965
44905,Michael Keane,1,3,3639,2,11,140,145.2,140.64198324606105
44906,Mamadou Sakho,1,2,4263,2,18,190,129.4,160.5056114320705
44907,Jérémy Pied,0,0,12,2,0,1,3.4,-0.5568378137492598
44908,Olivier Giroud,16,5,1566,5,5,152,211.8,206.53017886761432
44909,Arthur Masuaku,0,3,1233,2,3,47,56.3,61.74061207975399
44910,Nordin Amrabat,0,3,2289,4,5,71,121.9,105.86109280413508
44911,Ander Herrera,3,10,4391,3,18,184,269.6,283.5232091604822
44912,Alfred N'Diaye,1,0,1093,3,4,32,38.1,49.028335717141836
44913,Callum Hudson-Odoi,0,0,27,4,0,2,3.8,2.472400653409432
44914,Michael Carrick,0,0,1601,3,5,42,54.5,53.78399248729727
