,GW,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,fpl_pred
2431,84,Sadio Mané,27,15,5131,4,28,351,377.13100440284995
2432,44,Paul Pogba,7,7,2968,3,16,146,168.19195026637078
2433,105,Jan Vertonghen,1,1,7474,2,34,310,310.19715404399574
2434,47,Phil Jones,0,0,2326,2,12,104,96.10502537971735
2435,55,Jamaal Lascelles,3,0,4007,2,13,155,144.74601464972426
2436,11,Cédric Soares,0,0,552,2,2,24,17.566979981604113
2437,15,Matteo Darmian,0,0,513,2,3,24,21.05282213382599
2438,67,David Ospina,0,0,163,1,0,3,3.465655855742937
2439,73,Claudio Yacob,0,0,3316,3,7,77,70.81991488259729
2440,21,Wayne Hennessey,0,0,1080,1,1,26,31.408827051693024
2441,32,Denis Odoi,0,1,2475,2,2,36,48.991349521589314
2442,31,Raúl Jiménez,12,8,2495,5,10,154,152.661565963233
2443,13,Víctor Valdés,0,0,990,1,2,33,34.756985348785975
2444,66,Ramiro Funes Mori,0,1,1543,2,7,69,59.78181982529878
2445,3,Joel Ward,0,0,267,2,0,6,4.400800821389765
2446,107,Connor Wickham,2,1,472,5,0,26,27.75090371524277
2447,33,Fabian Schär,3,1,1572,2,5,69,70.44295471120259
2448,21,Gary Madine,0,0,32,5,0,5,4.079920915334853
2449,73,Ashley Barnes,15,3,3813,5,10,170,172.52144577191518
2450,48,Victor Moses,3,3,2955,4,20,127,110.99676377737637
2451,66,Rob Holding,0,1,1253,2,5,44,45.55506110397488
2452,40,Cédric Soares,0,3,2695,2,12,109,111.80521492523515
2453,13,Matt Ritchie,0,5,1130,3,3,44,48.131217078523036
2454,10,Sokratis Papastathopoulos,0,0,488,2,0,5,7.852426432098881
2455,104,Abdoulaye Doucouré,11,10,6837,3,18,265,267.4823553608894
2456,20,Viktor Fischer,0,2,407,4,1,21,20.994604111562822
2457,7,Lewis Grabban,0,1,60,5,0,6,7.968712056342561
2458,67,Jairo Riedewald,0,0,435,2,2,23,15.590096933118112
2459,16,Stephan Lichtsteiner,0,0,259,2,0,4,4.277522324976697
2460,83,Luke Shaw,1,5,2015,2,12,119,110.1120519103023
